dataset,model,MASE,MAE[0.5],MSE[mean],WQL
default,juantollo/checkpoint-final_20241009-225937,0.00992607489253433,0.006253167986869812,0.0005300799384713173,0.007058030527449636
exchange_rate,amazon/chronos-t5-large,4.081643345961817,0.015609229604403177,0.00046131969429552555,0.018572792610605845
